Place_Id,Place_Name,Img_Path_0,Img_Path_1,Img_Path_2
1,Monumen Nasional,images_output\Monumen Nasional\Monumen Nasional_0.jpg,images_output\Monumen Nasional\Monumen Nasional_1.jpg,images_output\Monumen Nasional\Monumen Nasional_2.jpg
2,Kota Tua,images_output\Kota Tua\Kota Tua_0.jpg,images_output\Kota Tua\Kota Tua_1.jpg,nan
3,Dunia Fantasi,images_output\Dunia Fantasi\Dunia Fantasi_0.jpg,images_output\Dunia Fantasi\Dunia Fantasi_1.png,images_output\Dunia Fantasi\Dunia Fantasi_2.jpg
4,Taman Mini Indonesia Indah (TMII),images_output\Taman Mini Indonesia Indah (TMII)\Taman Mini Indonesia Indah (TMII)_0.jpg,images_output\Taman Mini Indonesia Indah (TMII)\Taman Mini Indonesia Indah (TMII)_1.jpg,images_output\Taman Mini Indonesia Indah (TMII)\Taman Mini Indonesia Indah (TMII)_2.jpg
5,Atlantis Water Adventure,images_output\Atlantis Water Adventure\Atlantis Water Adventure_0.jpg,images_output\Atlantis Water Adventure\Atlantis Water Adventure_1.jpg,images_output\Atlantis Water Adventure\Atlantis Water Adventure_2.jpg
6,Taman Impian Jaya Ancol,images_output\Taman Impian Jaya Ancol\Taman Impian Jaya Ancol_0.jpg,images_output\Taman Impian Jaya Ancol\Taman Impian Jaya Ancol_1.jpg,nan
7,Kebun Binatang Ragunan,images_output\Kebun Binatang Ragunan\Kebun Binatang Ragunan_0.png,images_output\Kebun Binatang Ragunan\Kebun Binatang Ragunan_1.png,nan
8,Ocean Ecopark,images_output\Ocean Ecopark\Ocean Ecopark_0.jpg,images_output\Ocean Ecopark\Ocean Ecopark_1.jpg,images_output\Ocean Ecopark\Ocean Ecopark_2.jpg
9,Pelabuhan Marina,images_output\Pelabuhan Marina\Pelabuhan Marina_0.jpg,images_output\Pelabuhan Marina\Pelabuhan Marina_1.jpg,nan
10,Pulau Tidung,images_output\Pulau Tidung\Pulau Tidung_0.jpg,images_output\Pulau Tidung\Pulau Tidung_1.jpg,nan
11,Pulau Bidadari,images_output\Pulau Bidadari\Pulau Bidadari_0.jpg,images_output\Pulau Bidadari\Pulau Bidadari_1.jpg,images_output\Pulau Bidadari\Pulau Bidadari_2.jpg
12,Pulau Pari,images_output\Pulau Pari\Pulau Pari_0.jpg,images_output\Pulau Pari\Pulau Pari_1.jpg,images_output\Pulau Pari\Pulau Pari_2.jpg
13,Pulau Pramuka,images_output\Pulau Pramuka\Pulau Pramuka_0.jpg,images_output\Pulau Pramuka\Pulau Pramuka_1.jpg,images_output\Pulau Pramuka\Pulau Pramuka_2.jpg
14,Pulau Pelangi,images_output\Pulau Pelangi\Pulau Pelangi_0.jpg,images_output\Pulau Pelangi\Pulau Pelangi_1.jpg,images_output\Pulau Pelangi\Pulau Pelangi_2.jpg
15,Pasar Seni,images_output\Pasar Seni\Pasar Seni_0.jpg,images_output\Pasar Seni\Pasar Seni_1.jpg,nan
16,Jembatan Kota Intan,images_output\Jembatan Kota Intan\Jembatan Kota Intan_0.jpg,images_output\Jembatan Kota Intan\Jembatan Kota Intan_1.jpg,nan
17,Museum Fatahillah,images_output\Museum Fatahillah\Museum Fatahillah_0.jpg,images_output\Museum Fatahillah\Museum Fatahillah_1.jpg,nan
18,Museum Bank Indonesia,images_output\Museum Bank Indonesia\Museum Bank Indonesia_0.jpg,images_output\Museum Bank Indonesia\Museum Bank Indonesia_1.jpg,nan
